MONTH,BOROUGH,BOROUGH_ID,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1993 / 11,Manhattan,1,1,625.2,119.4,34.4,,,,
1992 / 03,Manhattan,1,1,726,,,,,,
1995 / 08,Manhattan,1,1,627.5,82.4,35.6,,,,
1991 / 08,Manhattan,1,1,695.1,,,,,,
1995 / 09,Manhattan,1,1,633.1,117.2,45.8,,,,
1996 / 04,Brooklyn,3,7,3478.8,279.2,301.6,,,,
2007 / 08,Brooklyn,3,7,3648.4,515.4,400.7,,,,
2012 / 01,Brooklyn,3,7,3156.7,436.6,343.4,,,,20.1
2003 / 11,Brooklyn,3,7,3729.5,,,,,,
2004 / 08,Brooklyn,3,7,3695.6,496.6,443.7,,,,
2005 / 02,Brooklyn,3,7,2913.9,520.6,382.9,,,,
2002 / 01,Brooklyn,3,7,3191.7,10.5,568.8,,,,23.1
1993 / 08,Brooklyn,3,7,3087.7,273,269.4,,,,
2007 / 01,Brooklyn,3,7,3339.9,582.2,391.8,,,,22.1
2013 / 10,Brooklyn,3,7,3341.4,414.6,319.1,38.2,,,
2013 / 11,Brooklyn,3,7,3179.2,398.7,318.3,57.5,,,
2002 / 09,Brooklyn,3,7,3826.1,,,,,,
2008 / 04,Brooklyn,3,7,3351,510.2,349,,,,
2003 / 05,Brooklyn,3,7,4112.4,,,,,,
2003 / 03,Brooklyn,3,7,3696.1,40.2,,,,,
2008 / 11,Brooklyn,3,7,3106.8,437.4,308.7,,,,
2003 / 07,Brooklyn,3,7,4286.2,4.4,,,,,
1992 / 02,Brooklyn,3,7,3315.2,,,,,,
1998 / 02,Brooklyn,3,7,2836.9,330.9,330,,,,
1999 / 02,Brooklyn,3,7,2595.5,350.2,352.2,,,,
2001 / 11,Brooklyn,3,7,3215.8,22.4,524.1,,,42.7,
2000 / 09,Brooklyn,3,7,3212.4,479.1,513.1,,,,
2002 / 05,Brooklyn,3,7,3500,9.9,524,,,,
2012 / 10,Brooklyn,3,7,3287.2,387.9,285.8,,,,
2012 / 04,Brooklyn,3,7,3129.2,390.2,280.4,,,,
2010 / 12,Brooklyn,3,7,2514.9,367.6,275.5,,,,
1997 / 12,Brooklyn,3,7,3364.4,441,380.1,,,,
1993 / 11,Brooklyn,3,7,3178.7,307.1,266.9,,,,
2011 / 11,Brooklyn,3,7,3465.7,407.7,288.1,,,,
2007 / 03,Brooklyn,3,7,3208.5,485.4,365.7,,,,
2009 / 11,Brooklyn,3,7,3211.7,399.6,302.8,,,,
2007 / 09,Brooklyn,3,7,3310.6,490.4,346.9,,,,
