CB,pct_LU1,pct_LU2,pct_LU3,pct_LU4,pct_LU5,pct_LU6,pct_LU7,pct_LU8,pct_LU9,pct_LU10,pct_LU11
201,6.11,7.91,15.22,9.91,5.51,21.32,6.63,11.36,7.01,4.21,4.80
202,4.40,6.48,3.30,4.45,3.07,39.15,12.09,7.36,3.89,2.48,13.34
203,10.32,12.60,13.29,10.05,5.79,6.69,2.62,12.51,20.45,3.46,2.23
204,4.31,12.28,15.27,10.48,7.03,2.58,8.35,12.34,16.81,6.32,4.22
205,11.29,16.39,18.06,14.69,6.70,1.28,3.16,15.25,6.42,2.09,4.66
206,5.64,9.04,5.39,6.01,4.02,1.46,3.92,13.70,46.01,2.73,2.07
207,9.40,14.61,15.19,9.15,5.38,1.12,9.29,22.32,6.65,2.25,4.64
208,22.52,3.52,14.27,2.36,2.67,0.18,10.64,15.69,12.87,0.76,14.51
209,19.11,12.84,16.81,8.99,5.01,3.68,2.57,5.65,13.07,3.16,9.10
210,30.27,5.88,7.56,1.74,6.63,2.19,1.31,12.76,12.74,1.74,17.18
211,40.20,8.81,8.37,4.40,7.33,2.05,7.81,16.66,0.69,1.57,2.10
212,36.70,11.49,5.66,2.08,3.88,2.93,6.33,6.41,19.79,1.62,3.10
301,5.18,16.88,7.79,13.33,4.99,22.75,11.88,5.11,6.16,2.75,3.18
302,8.67,12.51,11.12,12.36,7.30,2.51,19.59,13.96,8.66,1.27,2.05
303,23.95,27.75,12.23,9.31,2.82,2.87,0.81,11.82,3.61,1.64,3.19
304,19.87,30.19,3.37,9.13,4.09,4.32,1.59,8.43,16.04,1.70,1.27
305,26.16,11.52,9.39,4.62,3.80,6.43,6.07,7.01,13.70,6.15,5.16
306,13.10,20.04,6.44,6.93,7.27,22.43,6.22,4.80,5.91,3.27,3.59
307,14.93,10.82,1.45,4.63,3.92,11.98,19.22,3.55,26.76,1.11,1.63
308,18.98,32.32,12.61,9.71,2.78,2.58,2.22,9.88,5.33,1.93,1.66
309,32.48,15.65,11.87,9.99,3.07,0.94,1.77,19.67,1.71,1.56,1.29
310,32.59,8.88,3.68,5.21,2.26,0.31,2.94,13.75,29.48,0.48,0.40
311,42.63,26.58,3.13,6.80,5.77,2.61,3.47,4.06,2.88,0.93,1.15
312,39.66,22.30,5.29,8.29,3.66,2.13,3.89,7.14,5.52,0.75,1.40
313,11.30,6.16,15.00,4.35,3.63,0.88,7.38,6.27,36.25,1.98,6.80
314,47.38,9.77,14.82,6.68,4.13,0.37,3.26,8.46,3.67,0.66,0.81
315,49.63,7.84,9.86,4.61,5.29,0.44,3.61,8.32,3.57,0.59,6.24
316,22.28,20.65,15.98,7.42,3.61,3.72,6.01,9.08,5.89,2.33,3.03
317,43.70,18.81,5.86,5.85,3.56,3.06,3.80,7.14,5.65,1.33,1.23
318,37.94,4.57,2.58,1.17,4.22,2.45,3.38,4.12,24.14,1.35,14.07
101,0.15,0.59,5.46,13.85,24.75,0.07,16.34,32.39,4.64,1.34,0.42
102,3.97,8.90,12.94,24.18,17.04,0.93,12.79,8.44,4.02,1.22,5.56
103,0.29,7.91,23.53,26.12,3.75,0.47,5.37,10.32,16.63,0.82,4.79
104,0.71,6.29,12.00,17.49,14.10,2.02,28.03,8.73,2.34,2.59,5.69
105,0.09,0.65,5.06,14.68,65.51,0.22,3.26,5.52,3.06,0.76,1.18
106,1.70,4.28,15.91,33.19,13.56,0.01,8.94,16.08,3.26,0.61,2.47
107,1.36,6.72,14.96,11.52,2.25,0.05,4.63,6.25,15.70,0.15,36.41
108,5.54,9.01,37.08,23.04,4.31,0.22,2.65,13.71,2.62,0.55,1.29
109,2.64,11.27,20.19,9.71,2.89,0.70,4.73,25.38,17.81,1.00,3.68
110,4.07,19.82,22.32,23.22,4.87,0.83,0.89,14.29,6.08,0.59,3.01
111,0.31,4.37,17.47,7.11,1.87,0.38,10.01,9.53,43.09,1.54,4.31
112,0.44,8.37,10.57,9.77,2.49,0.40,7.65,7.98,43.71,1.79,6.85
401,16.37,17.53,7.37,5.98,6.85,8.66,20.14,4.03,7.44,2.28,3.36
402,11.42,8.39,4.53,4.11,6.10,23.57,12.84,3.87,15.37,5.79,4.02
403,42.57,18.29,9.32,5.24,9.77,0.51,1.06,6.47,3.89,1.94,0.94
404,27.34,28.33,10.99,8.11,6.61,1.87,5.25,6.84,2.13,1.28,1.27
405,31.04,9.82,0.51,3.05,2.96,9.13,6.84,2.35,31.94,1.26,1.11
406,41.84,4.44,16.32,5.93,5.94,0.14,5.99,5.55,12.09,0.58,1.19
407,33.36,6.13,4.16,2.61,4.05,3.95,3.03,5.44,10.70,1.81,24.75
408,42.57,14.94,7.30,1.43,2.96,0.04,0.38,10.83,18.53,0.26,0.76
409,57.51,10.67,3.49,4.94,4.34,2.74,7.57,4.72,2.08,1.06,0.88
410,52.70,4.81,1.14,1.68,2.91,0.60,5.12,2.47,23.33,0.68,4.57
411,53.96,10.27,1.64,0.89,2.94,0.22,1.29,5.02,20.50,0.40,2.88
412,59.89,2.98,4.73,2.23,3.84,3.45,6.02,7.10,6.11,1.64,2.01
413,32.26,2.79,1.00,0.42,1.44,1.13,48.80,4.26,6.42,0.46,1.02
414,31.79,3.16,6.89,1.00,1.50,0.55,2.93,4.23,29.05,0.68,18.20
501,42.16,4.08,2.17,1.52,5.18,3.46,8.89,7.24,14.69,1.02,9.58
502,27.35,2.17,0.74,0.46,4.58,2.88,9.63,10.77,23.51,0.81,17.10
503,39.75,1.16,0.18,0.47,3.44,3.16,5.77,4.91,18.58,0.77,21.80
