CD,total_rats,tons_of_refuge,tons_of_MGP,tons_of_paper,tons_res_organics,tons_sch_organics,tons_leaves_organics,tons_xmastrees,pct_LU1,pct_LU2,pct_LU3,pct_LU4,pct_LU5,pct_LU6,pct_LU7,pct_LU8,pct_LU9,pct_LU10,pct_LU11
01 BRONX,2338,764007.8,32663.3,28960.3,141.5,0,15.6,148.7,6.1,7.9,15.2,9.9,5.5,21.3,6.6,11.4,7,4.2,4.8
02 BRONX,2027,582803,34424.3,24529.8,0,0,53,173.9,4.4,6.5,3.3,4.4,3.1,39.1,12.1,7.4,3.9,2.5,13.3
03 BRONX,2522,723072.8,34086.5,28189.1,0,0,16.5,91.3,10.3,12.6,13.3,10.1,5.8,6.7,2.6,12.5,20.4,3.5,2.2
04 BRONX,4158,1598950.4,78164.7,61554.6,343,0,0,269.4,4.3,12.3,15.3,10.5,7,2.6,8.3,12.3,16.8,6.3,4.2
05 BRONX,3365,1351276.7,88723.5,58439.9,21.3,0,11.9,202.6,11.3,16.4,18.1,14.7,6.7,1.3,3.2,15.3,6.4,2.1,4.7
06 BRONX,2632,832281,46447.7,35118.9,261,3675.9,0,182.5,5.6,9,5.4,6,4,1.5,3.9,13.7,46,2.7,2.1
07 BRONX,3807,1433232.1,116527,85520.4,0,0,255.8,401,9.4,14.6,15.2,9.1,5.4,1.1,9.3,22.3,6.7,2.2,4.6
08 BRONX,2101,953756.6,90740.2,121044.9,2834.4,0,1562.1,557.5,22.5,3.5,14.3,2.4,2.7,0.2,10.6,15.7,12.9,0.8,14.5
09 BRONX,3131,1677616.2,89546.1,69437.2,0,0,152.1,517.1,19.1,12.8,16.8,9,5,3.7,2.6,5.7,13.1,3.2,9.1
10 BRONX,974,963393.5,102346.1,132982.5,5103.3,0,2742.4,662.6,30.3,5.9,7.6,1.7,6.6,2.2,1.3,12.8,12.7,1.7,17.2
11 BRONX,2724,1161867.5,100192.8,119934.2,3248.5,0,2959.5,549.3,40.2,8.8,8.4,4.4,7.3,2.1,7.8,16.7,0.7,1.6,2.1
12 BRONX,2852,1511372.4,157528.2,137621.7,6448.2,0,3435.8,333.5,36.7,11.5,5.7,2.1,3.9,2.9,6.3,6.4,19.8,1.6,3.1
01 BROOKLYN,5258,1831898.7,131254.7,159018.5,2440.3,0,16.5,717.8,5.2,16.9,7.8,13.3,5,22.8,11.9,5.1,6.2,2.8,3.2
02 BROOKLYN,4003,904089,94019.2,151863.6,2904,1941.7,447.5,1063.6,8.7,12.5,11.1,12.4,7.3,2.5,19.6,14,8.7,1.3,2
03 BROOKLYN,9437,1617771.8,91669.7,88697.3,0,0,52.8,342.2,24,27.8,12.2,9.3,2.8,2.9,0.8,11.8,3.6,1.6,3.2
04 BROOKLYN,6040,1215685.2,89803.7,64534.7,0,0,2.2,261,19.9,30.2,3.4,9.1,4.1,4.3,1.6,8.4,16,1.7,1.3
05 BROOKLYN,3560,1744805.6,118169.4,88508.4,6.4,0,648.6,289,26.2,11.5,9.4,4.6,3.8,6.4,6.1,7,13.7,6.1,5.2
06 BROOKLYN,3968,960605.1,118898.2,193376.5,8695.6,2557,428.3,1240.3,13.1,20,6.4,6.9,7.3,22.4,6.2,4.8,5.9,3.3,3.6
07 BROOKLYN,2136,1277745.2,123604.8,132784.8,6999.1,1546.2,480.3,589.6,14.9,10.8,1.4,4.6,3.9,12,19.2,3.6,26.8,1.1,1.6
08 BROOKLYN,5855,1080855.3,74102,82453,6.4,1630.7,133.9,486.7,19,32.3,12.6,9.7,2.8,2.6,2.2,9.9,5.3,1.9,1.7
09 BROOKLYN,3655,1204536.6,68491.9,81308.5,19.4,1161.6,446.6,252.4,32.5,15.7,11.9,10,3.1,0.9,1.8,19.7,1.7,1.6,1.3
10 BROOKLYN,1432,1268158.9,128753.7,200846.6,7370.9,1641.2,1631.3,1179.7,32.6,8.9,3.7,5.2,2.3,0.3,2.9,13.7,29.5,0.5,0.4
11 BROOKLYN,1481,1876292.4,154718.8,236964.8,2849.3,1481.3,1332.3,665.5,42.6,26.6,3.1,6.8,5.8,2.6,3.5,4.1,2.9,0.9,1.1
12 BROOKLYN,1542,2188059.3,137813.7,226197.6,2104.5,1659.7,1537.1,189.4,39.7,22.3,5.3,8.3,3.7,2.1,3.9,7.1,5.5,0.7,1.4
13 BROOKLYN,1453,843965,56920,58928.5,946.2,0,60.6,151,11.3,6.2,15,4.3,3.6,0.9,7.4,6.3,36.3,2,6.8
14 BROOKLYN,2805,1870493.1,116184,165196.7,0,1294.1,3215.7,332.6,47.4,9.8,14.8,6.7,4.1,0.4,3.3,8.5,3.7,0.7,0.8
15 BROOKLYN,1309,1788984.2,141994.4,238538,3386.5,247,3136.5,445.2,49.6,7.8,9.9,4.6,5.3,0.4,3.6,8.3,3.6,0.6,6.2
16 BROOKLYN,2401,819373.1,39424.5,33008.2,1015,0,244.4,102,22.3,20.7,16,7.4,3.6,3.7,6,9.1,5.9,2.3,3
17 BROOKLYN,3000,1782783.6,124656.9,115249.8,0,0,1487.7,225.1,43.7,18.8,5.9,5.9,3.6,3.1,3.8,7.1,5.6,1.3,1.2
18 BROOKLYN,1701,2079161.4,176493.7,243790.9,0,0,6104.2,777.9,37.9,4.6,2.6,1.2,4.2,2.5,3.4,4.1,24.1,1.4,14.1
01 MANHATTAN,1261,401711.6,50839.8,87528.5,1060.9,469.1,0,432.5,0.2,0.6,5.5,13.9,24.8,0.1,16.3,32.4,4.6,1.3,0.4
02 MANHATTAN,2468,898406.4,95574.5,133189.7,0,1526.3,0,902.4,4,8.9,12.9,24.2,17,0.9,12.8,8.4,4,1.2,5.6
03 MANHATTAN,4333,1259902.2,83556.4,88035.3,0,2665,14.2,635.5,0.3,7.9,23.5,26.1,3.7,0.5,5.4,10.3,16.6,0.8,4.8
04 MANHATTAN,2517,840905.2,99288.2,120927.9,875,0,4.5,688.1,0.7,6.3,12,17.5,14.1,2,28,8.7,2.3,2.6,5.7
05 MANHATTAN,1051,516284.7,47895.7,74827.8,0,0,0,517.8,0.1,0.7,5.1,14.7,65.5,0.2,3.3,5.5,3.1,0.8,1.2
06 MANHATTAN,1382,1268163.9,130431.4,179749.1,1281.4,0,28.2,1419.3,1.7,4.3,15.9,33.2,13.6,0,8.9,16.1,3.3,0.6,2.5
07 MANHATTAN,7969,2123026.5,215085.4,316021.3,1812.1,2796.5,0,2620,1.4,6.7,15,11.5,2.2,0,4.6,6.3,15.7,0.2,36.4
08 MANHATTAN,4392,2270153.7,227144.9,348823.5,904.1,0,0,3161.5,5.5,9,37.1,23,4.3,0.2,2.7,13.7,2.6,0.5,1.3
09 MANHATTAN,3596,1083822.8,69241.7,71084.3,1261.4,3302,0,484.7,2.6,11.3,20.2,9.7,2.9,0.7,4.7,25.4,17.8,1,3.7
10 MANHATTAN,6831,1131518.8,54826.4,53265.6,102.9,1005.6,54.9,501.3,4.1,19.8,22.3,23.2,4.9,0.8,0.9,14.3,6.1,0.6,3
11 MANHATTAN,3286,1006505.2,44949,47872.4,3.8,778.3,10.8,360.9,0.3,4.4,17.5,7.1,1.9,0.4,10,9.5,43.1,1.5,4.3
12 MANHATTAN,4920,2139581.2,147001.7,112987.8,824.9,2409.6,0,833.4,0.4,8.4,10.6,9.8,2.5,0.4,7.7,8,43.7,1.8,6.9
01 QUEENS,3032,1744235.6,163543.1,218689.2,0,0,1454.6,894.7,16.4,17.5,7.4,6,6.8,8.7,20.1,4,7.4,2.3,3.4
02 QUEENS,2348,1060287.7,98901.4,134628.3,2327,1677.4,720.2,596.6,11.4,8.4,4.5,4.1,6.1,23.6,12.8,3.9,15.4,5.8,4
03 QUEENS,1752,1808392.6,133626.9,138515.3,0,0,1258.6,618.5,42.6,18.3,9.3,5.2,9.8,0.5,1.1,6.5,3.9,1.9,0.9
04 QUEENS,1641,1590480.8,111604.2,125139.7,0,0,668.7,393.4,27.3,28.3,11,8.1,6.6,1.9,5.3,6.8,2.1,1.3,1.3
05 QUEENS,4083,1857490.3,198092.1,261565,10608.9,4934.7,2867.6,1319.9,31,9.8,0.5,3,3,9.1,6.8,2.4,31.9,1.3,1.1
06 QUEENS,970,1094103.8,98775.5,168834,0,243.5,3569.3,491,41.8,4.4,16.3,5.9,5.9,0.1,6,5.5,12.1,0.6,1.2
07 QUEENS,1752,2461125.3,203281.2,328594.4,6053.2,0,8761.8,1569.2,33.4,6.1,4.2,2.6,4.1,4,3,5.4,10.7,1.8,24.7
08 QUEENS,1134,1405019.7,108542.8,182160.3,3146.7,0,6992.7,499.1,42.6,14.9,7.3,1.4,3,0,0.4,10.8,18.5,0.3,0.8
09 QUEENS,1271,1547162.9,143182.3,164202.6,5972.1,2133.1,3060.4,679.4,57.5,10.7,3.5,4.9,4.3,2.7,7.6,4.7,2.1,1.1,0.9
10 QUEENS,1602,1516774.5,137171.5,153612.8,6029.1,0,3048.8,889,52.7,4.8,1.1,1.7,2.9,0.6,5.1,2.5,23.3,0.7,4.6
11 QUEENS,522,1229648.9,118238.3,212278.6,7290.6,1038.7,9916.1,1265.4,54,10.3,1.6,0.9,2.9,0.2,1.3,5,20.5,0.4,2.9
12 QUEENS,3572,2674157.6,214459.7,178878.8,0,0,7919.1,468.8,59.9,3,4.7,2.2,3.8,3.5,6,7.1,6.1,1.6,2
13 QUEENS,1356,2226675.4,213201.1,221724.2,7145,0,10278.2,982.2,32.3,2.8,1,0.4,1.4,1.1,48.8,4.3,6.4,0.5,1
14 QUEENS,743,1109049.8,68770.4,87572.4,2371.2,0,912.6,660.8,31.8,3.2,6.9,1,1.5,0.6,2.9,4.2,29.1,0.7,18.2
01 STATEN ISLAND,3540,2078852.9,184957.2,183049.6,10618.1,0,15953.7,1801.6,42.2,4.1,2.2,1.5,5.2,3.5,8.9,7.2,14.7,1,9.6
02 STATEN ISLAND,1730,1720679.5,151821.3,169045.6,1.8,2904.5,13137.4,1382.6,27.4,2.2,0.7,0.5,4.6,2.9,9.6,10.8,23.5,0.8,17.1
03 STATEN ISLAND,2258,2259263.4,204783,238894.2,0,1691.5,19312.1,2250,39.8,1.2,0.2,0.5,3.4,3.2,5.8,4.9,18.6,0.8,21.8
